season,team,league,division
1999,Los Angeles Dodgers,NL,West
1999,Montreal Expos,NL,East
1999,New York Mets,NL,East
2000,Oakland Athletics,AL,West
2000,Pittsburgh Pirates,NL,Central
2000,San Diego Padres,NL,West
2000,Seattle Mariners,AL,West
2000,San Francisco Giants,NL,West
2000,St. Louis Cardinals,NL,Central
2000,Tampa Bay Rays,AL,East
2000,Texas Rangers,AL,West
2000,Toronto Blue Jays,AL,East
2000,Minnesota Twins,AL,Central
2000,Philadelphia Phillies,NL,East
2000,Atlanta Braves,NL,East
2000,Chicago White Sox,AL,Central
2000,Miami Marlins,NL,East
2000,New York Yankees,AL,East
2000,Milwaukee Brewers,NL,Central
2000,Los Angeles Angels,AL,West
2000,Arizona Diamondbacks,NL,West
2000,Baltimore Orioles,AL,East
2000,Boston Red Sox,AL,East
2000,Chicago Cubs,NL,Central
2000,Cincinnati Reds,NL,Central
2000,Cleveland Guardians,AL,Central
2000,Colorado Rockies,NL,West
2000,Detroit Tigers,AL,Central
2000,Houston Astros,NL,Central
2000,Kansas City Royals,AL,Central
2000,Los Angeles Dodgers,NL,West
2000,Montreal Expos,NL,East
2000,New York Mets,NL,East
2001,Oakland Athletics,AL,West
2001,Pittsburgh Pirates,NL,Central
2001,San Diego Padres,NL,West
2001,Seattle Mariners,AL,West
2001,San Francisco Giants,NL,West
2001,St. Louis Cardinals,NL,Central
2001,Tampa Bay Rays,AL,East
2001,Texas Rangers,AL,West
2001,Toronto Blue Jays,AL,East
2001,Minnesota Twins,AL,Central
2001,Philadelphia Phillies,NL,East
2001,Atlanta Braves,NL,East
2001,Chicago White Sox,AL,Central
2001,Miami Marlins,NL,East
2001,New York Yankees,AL,East
2001,Milwaukee Brewers,NL,Central
2001,Los Angeles Angels,AL,West
2001,Arizona Diamondbacks,NL,West
2001,Baltimore Orioles,AL,East
2001,Boston Red Sox,AL,East
2001,Chicago Cubs,NL,Central
2001,Cincinnati Reds,NL,Central
2001,Cleveland Guardians,AL,Central
2001,Colorado Rockies,NL,West
2001,Detroit Tigers,AL,Central
2001,Houston Astros,NL,Central
2001,Kansas City Royals,AL,Central
2001,Los Angeles Dodgers,NL,West
2001,Montreal Expos,NL,East
2001,New York Mets,NL,East
2002,Oakland Athletics,AL,West
2002,Pittsburgh Pirates,NL,Central
2002,San Diego Padres,NL,West
2002,Seattle Mariners,AL,West
2002,San Francisco Giants,NL,West
2002,St. Louis Cardinals,NL,Central
2002,Tampa Bay Rays,AL,East
2002,Texas Rangers,AL,West
2002,Toronto Blue Jays,AL,East
2002,Minnesota Twins,AL,Central
2002,Philadelphia Phillies,NL,East
2002,Atlanta Braves,NL,East
2002,Chicago White Sox,AL,Central
2002,Miami Marlins,NL,East
2002,New York Yankees,AL,East
2002,Milwaukee Brewers,NL,Central
2002,Los Angeles Angels,AL,West
2002,Arizona Diamondbacks,NL,West
2002,Baltimore Orioles,AL,East
2002,Boston Red Sox,AL,East
2002,Chicago Cubs,NL,Central
2002,Cincinnati Reds,NL,Central
2002,Cleveland Guardians,AL,Central
2002,Colorado Rockies,NL,West
2002,Detroit Tigers,AL,Central
2002,Houston Astros,NL,Central
2002,Kansas City Royals,AL,Central
2002,Los Angeles Dodgers,NL,West
2002,Montreal Expos,NL,East
2002,New York Mets,NL,East
2003,Oakland Athletics,AL,West
2003,Pittsburgh Pirates,NL,Central
2003,San Diego Padres,NL,West
2003,Seattle Mariners,AL,West
2003,San Francisco Giants,NL,West
2003,St. Louis Cardinals,NL,Central
2003,Tampa Bay Rays,AL,East
2003,Texas Rangers,AL,West
2003,Toronto Blue Jays,AL,East
2003,Minnesota Twins,AL,Central
2003,Philadelphia Phillies,NL,East
2003,Atlanta Braves,NL,East
2003,Chicago White Sox,AL,Central
2003,Miami Marlins,NL,East
2003,New York Yankees,AL,East
2003,Milwaukee Brewers,NL,Central
2003,Los Angeles Angels,AL,West
2003,Arizona Diamondbacks,NL,West
2003,Baltimore Orioles,AL,East
2003,Boston Red Sox,AL,East
2003,Chicago Cubs,NL,Central
2003,Cincinnati Reds,NL,Central
2003,Cleveland Guardians,AL,Central
2003,Colorado Rockies,NL,West
2003,Detroit Tigers,AL,Central
2003,Houston Astros,NL,Central
2003,Kansas City Royals,AL,Central
2003,Los Angeles Dodgers,NL,West
2003,Montreal Expos,NL,East
2003,New York Mets,NL,East
2004,Oakland Athletics,AL,West
2004,Pittsburgh Pirates,NL,Central
2004,San Diego Padres,NL,West
2004,Seattle Mariners,AL,West
2004,San Francisco Giants,NL,West
2004,St. Louis Cardinals,NL,Central
2004,Tampa Bay Rays,AL,East
2004,Texas Rangers,AL,West
2004,Toronto Blue Jays,AL,East
2004,Minnesota Twins,AL,Central
2004,Philadelphia Phillies,NL,East
2004,Atlanta Braves,NL,East
2004,Chicago White Sox,AL,Central
2004,Miami Marlins,NL,East
2004,New York Yankees,AL,East
2004,Milwaukee Brewers,NL,Central
2004,Los Angeles Angels,AL,West
2004,Arizona Diamondbacks,NL,West
2004,Baltimore Orioles,AL,East
2004,Boston Red Sox,AL,East
2004,Chicago Cubs,NL,Central
2004,Cincinnati Reds,NL,Central
2004,Cleveland Guardians,AL,Central
2004,Colorado Rockies,NL,West
2004,Detroit Tigers,AL,Central
2004,Houston Astros,NL,Central
2004,Kansas City Royals,AL,Central
2004,Los Angeles Dodgers,NL,West
2004,Montreal Expos,NL,East
2004,New York Mets,NL,East
2005,Oakland Athletics,AL,West
2005,Pittsburgh Pirates,NL,Central
2005,San Diego Padres,NL,West
2005,Seattle Mariners,AL,West
2005,San Francisco Giants,NL,West
2005,St. Louis Cardinals,NL,Central
2005,Tampa Bay Rays,AL,East
2005,Texas Rangers,AL,West
2005,Toronto Blue Jays,AL,East
2005,Minnesota Twins,AL,Central
2005,Philadelphia Phillies,NL,East
2005,Atlanta Braves,NL,East
2005,Chicago White Sox,AL,Central
2005,Miami Marlins,NL,East
2005,New York Yankees,AL,East
2005,Milwaukee Brewers,NL,Central
2005,Los Angeles Angels,AL,West
2005,Arizona Diamondbacks,NL,West
2005,Baltimore Orioles,AL,East
2005,Boston Red Sox,AL,East
2005,Chicago Cubs,NL,Central
2005,Cincinnati Reds,NL,Central
2005,Cleveland Guardians,AL,Central
2005,Colorado Rockies,NL,West
2005,Detroit Tigers,AL,Central
2005,Houston Astros,NL,Central
2005,Kansas City Royals,AL,Central
2005,Los Angeles Dodgers,NL,West
2005,Washington Nationals,NL,East
2005,New York Mets,NL,East
2006,Oakland Athletics,AL,West
2006,Pittsburgh Pirates,NL,Central
2006,San Diego Padres,NL,West
2006,Seattle Mariners,AL,West
2006,San Francisco Giants,NL,West
2006,St. Louis Cardinals,NL,Central
2006,Tampa Bay Rays,AL,East
2006,Texas Rangers,AL,West
2006,Toronto Blue Jays,AL,East
2006,Minnesota Twins,AL,Central
2006,Philadelphia Phillies,NL,East
2006,Atlanta Braves,NL,East
2006,Chicago White Sox,AL,Central
2006,Miami Marlins,NL,East
2006,New York Yankees,AL,East
2006,Milwaukee Brewers,NL,Central
2006,Los Angeles Angels,AL,West
2006,Arizona Diamondbacks,NL,West
2006,Baltimore Orioles,AL,East
2006,Boston Red Sox,AL,East
2006,Chicago Cubs,NL,Central
2006,Cincinnati Reds,NL,Central
2006,Cleveland Guardians,AL,Central
2006,Colorado Rockies,NL,West
2006,Detroit Tigers,AL,Central
2006,Houston Astros,NL,Central
2006,Kansas City Royals,AL,Central
2006,Los Angeles Dodgers,NL,West
2006,Washington Nationals,NL,East
2006,New York Mets,NL,East
2007,Oakland Athletics,AL,West
2007,Pittsburgh Pirates,NL,Central
2007,San Diego Padres,NL,West
2007,Seattle Mariners,AL,West
2007,San Francisco Giants,NL,West
2007,St. Louis Cardinals,NL,Central
2007,Tampa Bay Rays,AL,East
2007,Texas Rangers,AL,West
2007,Toronto Blue Jays,AL,East
2007,Minnesota Twins,AL,Central
2007,Philadelphia Phillies,NL,East
2007,Atlanta Braves,NL,East
2007,Chicago White Sox,AL,Central
2007,Miami Marlins,NL,East
2007,New York Yankees,AL,East
2007,Milwaukee Brewers,NL,Central
2007,Los Angeles Angels,AL,West
2007,Arizona Diamondbacks,NL,West
2007,Baltimore Orioles,AL,East
2007,Boston Red Sox,AL,East
2007,Chicago Cubs,NL,Central
2007,Cincinnati Reds,NL,Central
2007,Cleveland Guardians,AL,Central
2007,Colorado Rockies,NL,West
2007,Detroit Tigers,AL,Central
2007,Houston Astros,NL,Central
2007,Kansas City Royals,AL,Central
2007,Los Angeles Dodgers,NL,West
2007,Washington Nationals,NL,East
2007,New York Mets,NL,East
2008,Oakland Athletics,AL,West
2008,Pittsburgh Pirates,NL,Central
2008,San Diego Padres,NL,West
2008,Seattle Mariners,AL,West
2008,San Francisco Giants,NL,West
2008,St. Louis Cardinals,NL,Central
2008,Tampa Bay Rays,AL,East
2008,Texas Rangers,AL,West
2008,Toronto Blue Jays,AL,East
2008,Minnesota Twins,AL,Central
2008,Philadelphia Phillies,NL,East
2008,Atlanta Braves,NL,East
2008,Chicago White Sox,AL,Central
2008,Miami Marlins,NL,East
2008,New York Yankees,AL,East
2008,Milwaukee Brewers,NL,Central
2008,Los Angeles Angels,AL,West
2008,Arizona Diamondbacks,NL,West
2008,Baltimore Orioles,AL,East
2008,Boston Red Sox,AL,East
2008,Chicago Cubs,NL,Central
2008,Cincinnati Reds,NL,Central
2008,Cleveland Guardians,AL,Central
2008,Colorado Rockies,NL,West
2008,Detroit Tigers,AL,Central
2008,Houston Astros,NL,Central
2008,Kansas City Royals,AL,Central
2008,Los Angeles Dodgers,NL,West
2008,Washington Nationals,NL,East
2008,New York Mets,NL,East
2009,Oakland Athletics,AL,West
2009,Pittsburgh Pirates,NL,Central
2009,San Diego Padres,NL,West
2009,Seattle Mariners,AL,West
2009,San Francisco Giants,NL,West
2009,St. Louis Cardinals,NL,Central
2009,Tampa Bay Rays,AL,East
2009,Texas Rangers,AL,West
2009,Toronto Blue Jays,AL,East
2009,Minnesota Twins,AL,Central
2009,Philadelphia Phillies,NL,East
2009,Atlanta Braves,NL,East
2009,Chicago White Sox,AL,Central
2009,Miami Marlins,NL,East
2009,New York Yankees,AL,East
2009,Milwaukee Brewers,NL,Central
2009,Los Angeles Angels,AL,West
2009,Arizona Diamondbacks,NL,West
2009,Baltimore Orioles,AL,East
2009,Boston Red Sox,AL,East
2009,Chicago Cubs,NL,Central
2009,Cincinnati Reds,NL,Central
2009,Cleveland Guardians,AL,Central
2009,Colorado Rockies,NL,West
2009,Detroit Tigers,AL,Central
2009,Houston Astros,NL,Central
2009,Kansas City Royals,AL,Central
2009,Los Angeles Dodgers,NL,West
2009,Washington Nationals,NL,East
2009,New York Mets,NL,East
2010,Oakland Athletics,AL,West
2010,Pittsburgh Pirates,NL,Central
2010,San Diego Padres,NL,West
2010,Seattle Mariners,AL,West
2010,San Francisco Giants,NL,West
2010,St. Louis Cardinals,NL,Central
2010,Tampa Bay Rays,AL,East
2010,Texas Rangers,AL,West
2010,Toronto Blue Jays,AL,East
2010,Minnesota Twins,AL,Central
2010,Philadelphia Phillies,NL,East
2010,Atlanta Braves,NL,East
2010,Chicago White Sox,AL,Central
2010,Miami Marlins,NL,East
2010,New York Yankees,AL,East
2010,Milwaukee Brewers,NL,Central
2010,Los Angeles Angels,AL,West
2010,Arizona Diamondbacks,NL,West
2010,Baltimore Orioles,AL,East
2010,Boston Red Sox,AL,East
2010,Chicago Cubs,NL,Central
2010,Cincinnati Reds,NL,Central
2010,Cleveland Guardians,AL,Central
2010,Colorado Rockies,NL,West
2010,Detroit Tigers,AL,Central
2010,Houston Astros,NL,Central
2010,Kansas City Royals,AL,Central
2010,Los Angeles Dodgers,NL,West
2010,Washington Nationals,NL,East
2010,New York Mets,NL,East
2011,Oakland Athletics,AL,West
2011,Pittsburgh Pirates,NL,Central
2011,San Diego Padres,NL,West
2011,Seattle Mariners,AL,West
2011,San Francisco Giants,NL,West
2011,St. Louis Cardinals,NL,Central
2011,Tampa Bay Rays,AL,East
2011,Texas Rangers,AL,West
2011,Toronto Blue Jays,AL,East
2011,Minnesota Twins,AL,Central
2011,Philadelphia Phillies,NL,East
2011,Atlanta Braves,NL,East
2011,Chicago White Sox,AL,Central
2011,Miami Marlins,NL,East
2011,New York Yankees,AL,East
2011,Milwaukee Brewers,NL,Central
2011,Los Angeles Angels,AL,West
2011,Arizona Diamondbacks,NL,West
2011,Baltimore Orioles,AL,East
2011,Boston Red Sox,AL,East
2011,Chicago Cubs,NL,Central
2011,Cincinnati Reds,NL,Central
2011,Cleveland Guardians,AL,Central
2011,Colorado Rockies,NL,West
2011,Detroit Tigers,AL,Central
2011,Houston Astros,NL,Central
2011,Kansas City Royals,AL,Central
2011,Los Angeles Dodgers,NL,West
2011,Washington Nationals,NL,East
2011,New York Mets,NL,East
2012,Oakland Athletics,AL,West
2012,Pittsburgh Pirates,NL,Central
2012,San Diego Padres,NL,West
2012,Seattle Mariners,AL,West
2012,San Francisco Giants,NL,West
2012,St. Louis Cardinals,NL,Central
2012,Tampa Bay Rays,AL,East
2012,Texas Rangers,AL,West
2012,Toronto Blue Jays,AL,East
2012,Minnesota Twins,AL,Central
2012,Philadelphia Phillies,NL,East
2012,Atlanta Braves,NL,East
2012,Chicago White Sox,AL,Central
2012,Miami Marlins,NL,East
2012,New York Yankees,AL,East
2012,Milwaukee Brewers,NL,Central
2012,Los Angeles Angels,AL,West
2012,Arizona Diamondbacks,NL,West
2012,Baltimore Orioles,AL,East
2012,Boston Red Sox,AL,East
2012,Chicago Cubs,NL,Central
2012,Cincinnati Reds,NL,Central
2012,Cleveland Guardians,AL,Central
2012,Colorado Rockies,NL,West
2012,Detroit Tigers,AL,Central
2012,Houston Astros,NL,Central
2012,Kansas City Royals,AL,Central
2012,Los Angeles Dodgers,NL,West
2012,Washington Nationals,NL,East
2012,New York Mets,NL,East
2013,Oakland Athletics,AL,West
2013,Pittsburgh Pirates,NL,Central
2013,San Diego Padres,NL,West
2013,Seattle Mariners,AL,West
2013,San Francisco Giants,NL,West
2013,St. Louis Cardinals,NL,Central
2013,Tampa Bay Rays,AL,East
2013,Texas Rangers,AL,West
2013,Toronto Blue Jays,AL,East
2013,Minnesota Twins,AL,Central
2013,Philadelphia Phillies,NL,East
2013,Atlanta Braves,NL,East
2013,Chicago White Sox,AL,Central
2013,Miami Marlins,NL,East
2013,New York Yankees,AL,East
2013,Milwaukee Brewers,NL,Central
2013,Los Angeles Angels,AL,West
2013,Arizona Diamondbacks,NL,West
2013,Baltimore Orioles,AL,East
2013,Boston Red Sox,AL,East
2013,Chicago Cubs,NL,Central
2013,Cincinnati Reds,NL,Central
2013,Cleveland Guardians,AL,Central
2013,Colorado Rockies,NL,West
2013,Detroit Tigers,AL,Central
2013,Houston Astros,AL,West
2013,Kansas City Royals,AL,Central
2013,Los Angeles Dodgers,NL,West
2013,Washington Nationals,NL,East
2013,New York Mets,NL,East
2014,Oakland Athletics,AL,West
2014,Pittsburgh Pirates,NL,Central
2014,San Diego Padres,NL,West
2014,Seattle Mariners,AL,West
2014,San Francisco Giants,NL,West
2014,St. Louis Cardinals,NL,Central
2014,Tampa Bay Rays,AL,East
2014,Texas Rangers,AL,West
2014,Toronto Blue Jays,AL,East
2014,Minnesota Twins,AL,Central
2014,Philadelphia Phillies,NL,East
2014,Atlanta Braves,NL,East
2014,Chicago White Sox,AL,Central
2014,Miami Marlins,NL,East
2014,New York Yankees,AL,East
2014,Milwaukee Brewers,NL,Central
2014,Los Angeles Angels,AL,West
2014,Arizona Diamondbacks,NL,West
2014,Baltimore Orioles,AL,East
2014,Boston Red Sox,AL,East
2014,Chicago Cubs,NL,Central
2014,Cincinnati Reds,NL,Central
2014,Cleveland Guardians,AL,Central
2014,Colorado Rockies,NL,West
2014,Detroit Tigers,AL,Central
2014,Houston Astros,AL,West
2014,Kansas City Royals,AL,Central
2014,Los Angeles Dodgers,NL,West
2014,Washington Nationals,NL,East
2014,New York Mets,NL,East
2015,Oakland Athletics,AL,West
2015,Pittsburgh Pirates,NL,Central
2015,San Diego Padres,NL,West
2015,Seattle Mariners,AL,West
2015,San Francisco Giants,NL,West
2015,St. Louis Cardinals,NL,Central
2015,Tampa Bay Rays,AL,East
2015,Texas Rangers,AL,West
2015,Toronto Blue Jays,AL,East
2015,Minnesota Twins,AL,Central
2015,Philadelphia Phillies,NL,East
2015,Atlanta Braves,NL,East
2015,Chicago White Sox,AL,Central
2015,Miami Marlins,NL,East
2015,New York Yankees,AL,East
2015,Milwaukee Brewers,NL,Central
2015,Los Angeles Angels,AL,West
2015,Arizona Diamondbacks,NL,West
2015,Baltimore Orioles,AL,East
2015,Boston Red Sox,AL,East
2015,Chicago Cubs,NL,Central
2015,Cincinnati Reds,NL,Central
2015,Cleveland Guardians,AL,Central
2015,Colorado Rockies,NL,West
2015,Detroit Tigers,AL,Central
2015,Houston Astros,AL,West
2015,Kansas City Royals,AL,Central
2015,Los Angeles Dodgers,NL,West
2015,Washington Nationals,NL,East
2015,New York Mets,NL,East
2016,Oakland Athletics,AL,West
2016,Pittsburgh Pirates,NL,Central
2016,San Diego Padres,NL,West
2016,Seattle Mariners,AL,West
2016,San Francisco Giants,NL,West
2016,St. Louis Cardinals,NL,Central
2016,Tampa Bay Rays,AL,East
2016,Texas Rangers,AL,West
2016,Toronto Blue Jays,AL,East
2016,Minnesota Twins,AL,Central
2016,Philadelphia Phillies,NL,East
2016,Atlanta Braves,NL,East
2016,Chicago White Sox,AL,Central
2016,Miami Marlins,NL,East
2016,New York Yankees,AL,East
2016,Milwaukee Brewers,NL,Central
2016,Los Angeles Angels,AL,West
2016,Arizona Diamondbacks,NL,West
2016,Baltimore Orioles,AL,East
2016,Boston Red Sox,AL,East
2016,Chicago Cubs,NL,Central
2016,Cincinnati Reds,NL,Central
2016,Cleveland Guardians,AL,Central
2016,Colorado Rockies,NL,West
2016,Detroit Tigers,AL,Central
2016,Houston Astros,AL,West
2016,Kansas City Royals,AL,Central
2016,Los Angeles Dodgers,NL,West
2016,Washington Nationals,NL,East
2016,New York Mets,NL,East
2017,Oakland Athletics,AL,West
2017,Pittsburgh Pirates,NL,Central
2017,San Diego Padres,NL,West
2017,Seattle Mariners,AL,West
2017,San Francisco Giants,NL,West
2017,St. Louis Cardinals,NL,Central
2017,Tampa Bay Rays,AL,East
2017,Texas Rangers,AL,West
2017,Toronto Blue Jays,AL,East
2017,Minnesota Twins,AL,Central
2017,Philadelphia Phillies,NL,East
2017,Atlanta Braves,NL,East
2017,Chicago White Sox,AL,Central
2017,Miami Marlins,NL,East
2017,New York Yankees,AL,East
2017,Milwaukee Brewers,NL,Central
2017,Los Angeles Angels,AL,West
2017,Arizona Diamondbacks,NL,West
2017,Baltimore Orioles,AL,East
2017,Boston Red Sox,AL,East
2017,Chicago Cubs,NL,Central
2017,Cincinnati Reds,NL,Central
2017,Cleveland Guardians,AL,Central
2017,Colorado Rockies,NL,West
2017,Detroit Tigers,AL,Central
2017,Houston Astros,AL,West
2017,Kansas City Royals,AL,Central
2017,Los Angeles Dodgers,NL,West
2017,Washington Nationals,NL,East
2017,New York Mets,NL,East
2018,Oakland Athletics,AL,West
2018,Pittsburgh Pirates,NL,Central
2018,San Diego Padres,NL,West
2018,Seattle Mariners,AL,West
2018,San Francisco Giants,NL,West
2018,St. Louis Cardinals,NL,Central
2018,Tampa Bay Rays,AL,East
2018,Texas Rangers,AL,West
2018,Toronto Blue Jays,AL,East
2018,Minnesota Twins,AL,Central
2018,Philadelphia Phillies,NL,East
2018,Atlanta Braves,NL,East
2018,Chicago White Sox,AL,Central
2018,Miami Marlins,NL,East
2018,New York Yankees,AL,East
2018,Milwaukee Brewers,NL,Central
2018,Los Angeles Angels,AL,West
2018,Arizona Diamondbacks,NL,West
2018,Baltimore Orioles,AL,East
2018,Boston Red Sox,AL,East
2018,Chicago Cubs,NL,Central
2018,Cincinnati Reds,NL,Central
2018,Cleveland Guardians,AL,Central
2018,Colorado Rockies,NL,West
2018,Detroit Tigers,AL,Central
2018,Houston Astros,AL,West
2018,Kansas City Royals,AL,Central
2018,Los Angeles Dodgers,NL,West
2018,Washington Nationals,NL,East
2018,New York Mets,NL,East
2019,Oakland Athletics,AL,West
2019,Pittsburgh Pirates,NL,Central
2019,San Diego Padres,NL,West
2019,Seattle Mariners,AL,West
2019,San Francisco Giants,NL,West
2019,St. Louis Cardinals,NL,Central
2019,Tampa Bay Rays,AL,East
2019,Texas Rangers,AL,West
2019,Toronto Blue Jays,AL,East
2019,Minnesota Twins,AL,Central
2019,Philadelphia Phillies,NL,East
2019,Atlanta Braves,NL,East
2019,Chicago White Sox,AL,Central
2019,Miami Marlins,NL,East
2019,New York Yankees,AL,East
2019,Milwaukee Brewers,NL,Central
2019,Los Angeles Angels,AL,West
2019,Arizona Diamondbacks,NL,West
2019,Baltimore Orioles,AL,East
2019,Boston Red Sox,AL,East
2019,Chicago Cubs,NL,Central
2019,Cincinnati Reds,NL,Central
2019,Cleveland Guardians,AL,Central
2019,Colorado Rockies,NL,West
2019,Detroit Tigers,AL,Central
2019,Houston Astros,AL,West
2019,Kansas City Royals,AL,Central
2019,Los Angeles Dodgers,NL,West
2019,Washington Nationals,NL,East
2019,New York Mets,NL,East
2020,Oakland Athletics,AL,West
2020,Pittsburgh Pirates,NL,Central
2020,San Diego Padres,NL,West
2020,Seattle Mariners,AL,West
2020,San Francisco Giants,NL,West
2020,St. Louis Cardinals,NL,Central
2020,Tampa Bay Rays,AL,East
2020,Texas Rangers,AL,West
2020,Toronto Blue Jays,AL,East
2020,Minnesota Twins,AL,Central
2020,Philadelphia Phillies,NL,East
2020,Atlanta Braves,NL,East
2020,Chicago White Sox,AL,Central
2020,Miami Marlins,NL,East
2020,New York Yankees,AL,East
2020,Milwaukee Brewers,NL,Central
2020,Los Angeles Angels,AL,West
2020,Arizona Diamondbacks,NL,West
2020,Baltimore Orioles,AL,East
2020,Boston Red Sox,AL,East
2020,Chicago Cubs,NL,Central
2020,Cincinnati Reds,NL,Central
2020,Cleveland Guardians,AL,Central
2020,Colorado Rockies,NL,West
2020,Detroit Tigers,AL,Central
2020,Houston Astros,AL,West
2020,Kansas City Royals,AL,Central
2020,Los Angeles Dodgers,NL,West
2020,Washington Nationals,NL,East
2020,New York Mets,NL,East
2021,Oakland Athletics,AL,West
2021,Pittsburgh Pirates,NL,Central
2021,San Diego Padres,NL,West
2021,Seattle Mariners,AL,West
2021,San Francisco Giants,NL,West
2021,St. Louis Cardinals,NL,Central
2021,Tampa Bay Rays,AL,East
2021,Texas Rangers,AL,West
2021,Toronto Blue Jays,AL,East
2021,Minnesota Twins,AL,Central
2021,Philadelphia Phillies,NL,East
2021,Atlanta Braves,NL,East
2021,Chicago White Sox,AL,Central
2021,Miami Marlins,NL,East
2021,New York Yankees,AL,East
2021,Milwaukee Brewers,NL,Central
2021,Los Angeles Angels,AL,West
2021,Arizona Diamondbacks,NL,West
2021,Baltimore Orioles,AL,East
2021,Boston Red Sox,AL,East
2021,Chicago Cubs,NL,Central
2021,Cincinnati Reds,NL,Central
2021,Cleveland Guardians,AL,Central
2021,Colorado Rockies,NL,West
2021,Detroit Tigers,AL,Central
2021,Houston Astros,AL,West
2021,Kansas City Royals,AL,Central
2021,Los Angeles Dodgers,NL,West
2021,Washington Nationals,NL,East
2021,New York Mets,NL,East
2022,Oakland Athletics,AL,West
2022,Pittsburgh Pirates,NL,Central
2022,San Diego Padres,NL,West
2022,Seattle Mariners,AL,West
2022,San Francisco Giants,NL,West
2022,St. Louis Cardinals,NL,Central
2022,Tampa Bay Rays,AL,East
2022,Texas Rangers,AL,West
2022,Toronto Blue Jays,AL,East
2022,Minnesota Twins,AL,Central
2022,Philadelphia Phillies,NL,East
2022,Atlanta Braves,NL,East
2022,Chicago White Sox,AL,Central
2022,Miami Marlins,NL,East
2022,New York Yankees,AL,East
2022,Milwaukee Brewers,NL,Central
2022,Los Angeles Angels,AL,West
2022,Arizona Diamondbacks,NL,West
2022,Baltimore Orioles,AL,East
2022,Boston Red Sox,AL,East
2022,Chicago Cubs,NL,Central
2022,Cincinnati Reds,NL,Central
2022,Cleveland Guardians,AL,Central
2022,Colorado Rockies,NL,West
2022,Detroit Tigers,AL,Central
2022,Houston Astros,AL,West
2022,Kansas City Royals,AL,Central
2022,Los Angeles Dodgers,NL,West
2022,Washington Nationals,NL,East
2022,New York Mets,NL,East
2023,Oakland Athletics,AL,West
2023,Pittsburgh Pirates,NL,Central
2023,San Diego Padres,NL,West
2023,Seattle Mariners,AL,West
2023,San Francisco Giants,NL,West
2023,St. Louis Cardinals,NL,Central
2023,Tampa Bay Rays,AL,East
2023,Texas Rangers,AL,West
2023,Toronto Blue Jays,AL,East
2023,Minnesota Twins,AL,Central
2023,Philadelphia Phillies,NL,East
2023,Atlanta Braves,NL,East
2023,Chicago White Sox,AL,Central
2023,Miami Marlins,NL,East
2023,New York Yankees,AL,East
2023,Milwaukee Brewers,NL,Central
2023,Los Angeles Angels,AL,West
2023,Arizona Diamondbacks,NL,West
2023,Baltimore Orioles,AL,East
2023,Boston Red Sox,AL,East
2023,Chicago Cubs,NL,Central
2023,Cincinnati Reds,NL,Central
2023,Cleveland Guardians,AL,Central
2023,Colorado Rockies,NL,West
2023,Detroit Tigers,AL,Central
2023,Houston Astros,AL,West
2023,Kansas City Royals,AL,Central
2023,Los Angeles Dodgers,NL,West
2023,Washington Nationals,NL,East
2023,New York Mets,NL,East
2024,Oakland Athletics,AL,West
2024,Pittsburgh Pirates,NL,Central
2024,San Diego Padres,NL,West
2024,Seattle Mariners,AL,West
2024,San Francisco Giants,NL,West
2024,St. Louis Cardinals,NL,Central
2024,Tampa Bay Rays,AL,East
2024,Texas Rangers,AL,West
2024,Toronto Blue Jays,AL,East
2024,Minnesota Twins,AL,Central
2024,Philadelphia Phillies,NL,East
2024,Atlanta Braves,NL,East
2024,Chicago White Sox,AL,Central
2024,Miami Marlins,NL,East
2024,New York Yankees,AL,East
2024,Milwaukee Brewers,NL,Central
2024,Los Angeles Angels,AL,West
2024,Arizona Diamondbacks,NL,West
2024,Baltimore Orioles,AL,East
2024,Boston Red Sox,AL,East
2024,Chicago Cubs,NL,Central
2024,Cincinnati Reds,NL,Central
2024,Cleveland Guardians,AL,Central
2024,Colorado Rockies,NL,West
2024,Detroit Tigers,AL,Central
2024,Houston Astros,AL,West
2024,Kansas City Royals,AL,Central
2024,Los Angeles Dodgers,NL,West
2024,Washington Nationals,NL,East
2024,New York Mets,NL,East
2025,Las Vegas Athletics,AL,West
2025,Pittsburgh Pirates,NL,Central
2025,San Diego Padres,NL,West
2025,Seattle Mariners,AL,West
2025,San Francisco Giants,NL,West
2025,St. Louis Cardinals,NL,Central
2025,Tampa Bay Rays,AL,East
2025,Texas Rangers,AL,West
2025,Toronto Blue Jays,AL,East
2025,Minnesota Twins,AL,Central
2025,Philadelphia Phillies,NL,East
2025,Atlanta Braves,NL,East
2025,Chicago White Sox,AL,Central
2025,Miami Marlins,NL,East
2025,New York Yankees,AL,East
2025,Milwaukee Brewers,NL,Central
2025,Los Angeles Angels,AL,West
2025,Arizona Diamondbacks,NL,West
2025,Baltimore Orioles,AL,East
2025,Boston Red Sox,AL,East
2025,Chicago Cubs,NL,Central
2025,Cincinnati Reds,NL,Central
2025,Cleveland Guardians,AL,Central
2025,Colorado Rockies,NL,West
2025,Detroit Tigers,AL,Central
2025,Houston Astros,AL,West
2025,Kansas City Royals,AL,Central
2025,Los Angeles Dodgers,NL,West
2025,Washington Nationals,NL,East
2025,New York Mets,NL,East
2026,Las Vegas Athletics,AL,West
2026,Pittsburgh Pirates,NL,Central
2026,San Diego Padres,NL,West
2026,Seattle Mariners,AL,West
2026,San Francisco Giants,NL,West
